,Tweet,created_at,FC,RT,hashtags_text,user_mentions,urls,hour
10,🔊 VINÍCOLAS 🔊  ¡¡HOY SE JUEGA!!  ⚽️  vs @UCAMMurciaCF  ⌚ 19.00h   🏟 Condomina   📻 @ORMdeportes  🖥 @footters… https://t.co/EFSuCca7YH,2018-09-30 07:27:04,9,0,0.0,"[{'screen_name': 'UCAMMurciaCF', 'name': 'UCAM Murcia C.F.', 'id': 339057586, 'id_str': '339057586', 'indices': [40, 53]}, {'screen_name': 'ORMdeportes', 'name': 'ORM Deportes', 'id': 767836237, 'id_str': '767836237', 'indices': [82, 94]}, {'screen_name': 'footters', 'name': 'Footters ⚽', 'id': 780798646505713664, 'id_str': '780798646505713664', 'indices': [98, 107]}]","[{'url': 'https://t.co/EFSuCca7YH', 'expanded_url': 'https://twitter.com/i/web/status/1046300378902515712', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]",7.0
11,📑 Jornada 6 | El colegiado andaluz Guzmán Mansilla arbitrará el #UCAMMurciaJumilla de mañana en La Condomina  19.00… https://t.co/uRgs7uX1iv,2018-09-29 15:12:35,0,0,"["" 'UCAMMurciaJumilla'""]",[],"[{'url': 'https://t.co/uRgs7uX1iv', 'expanded_url': 'https://twitter.com/i/web/status/1046055142368432128', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",15.0
12,📷 | Sesión de entrenamiento en el Miguel Induráin ✅✔  📅 1 días para el #UCAMMurciaJumilla   #SentimientoVinícola… https://t.co/UWnb640k7k,2018-09-29 09:17:39,3,0,"["" 'UCAMMurciaJumilla'""]",[],"[{'url': 'https://t.co/UWnb640k7k', 'expanded_url': 'https://twitter.com/i/web/status/1045965820445241344', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",9.0
13,"¡Buenos días, vinícolas! ☀️  El equipo trabajará  esta mañana en Ceutí para el #UCAMMurciaJumilla de mañana⚠️  19.0… https://t.co/1XhyUInY7H",2018-09-29 07:55:24,8,1,"["" 'UCAMMurciaJumilla'""]",[],"[{'url': 'https://t.co/1XhyUInY7H', 'expanded_url': 'https://twitter.com/i/web/status/1045945120531632129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",7.0
14,Nuestras condolencias a toda la familia del @cf_navia por el triste y trágico fallecimiento del futbolista juvenil… https://t.co/4fN1T1Z2SR,2018-09-28 19:44:39,13,2,0.0,"[{'screen_name': 'cf_navia', 'name': 'Navia CF', 'id': 1006941044225789952, 'id_str': '1006941044225789952', 'indices': [44, 53]}]","[{'url': 'https://t.co/4fN1T1Z2SR', 'expanded_url': 'https://twitter.com/i/web/status/1045761221071392768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",19.0
15,⏰ Horario Oficial | Jornada 7  ⚽️ @recreoficial - @FCJumilla  📆 Domingo 7 de Octubre ⏱ 18:00 h 🏟️ Estadio Nuevo Col… https://t.co/czhF0OJGLr,2018-09-28 14:08:58,1,0,0.0,"[{'screen_name': 'recreoficial', 'name': 'RC Recreativo Huelva', 'id': 274906793, 'id_str': '274906793', 'indices': [34, 47]}, {'screen_name': 'FCJumilla', 'name': 'Fútbol Club Jumilla', 'id': 2664945430, 'id_str': '2664945430', 'indices': [50, 60]}]","[{'url': 'https://t.co/czhF0OJGLr', 'expanded_url': 'https://twitter.com/i/web/status/1045676746320859137', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",14.0
16,PREVIA. Jornada 6: UCAM Murcia CF - FC Jumilla    🗣 Declaraciones de @lpontesoficial  🗣 Declaraciones de @ROLESUCO… https://t.co/fFtOLY6Bhm,2018-09-28 10:13:47,11,2,0.0,"[{'screen_name': 'lpontesoficial', 'name': 'Leonel Pontes', 'id': 4784388824, 'id_str': '4784388824', 'indices': [69, 84]}, {'screen_name': 'ROLESUCO', 'name': 'ANGELROBLES', 'id': 4925560181, 'id_str': '4925560181', 'indices': [105, 114]}]","[{'url': 'https://t.co/fFtOLY6Bhm', 'expanded_url': 'https://twitter.com/i/web/status/1045617559138168832', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",10.0
17,📷 | Sesión de entrenamiento en @PinatarArena ✅✔  📅 2 días para el #UCAMMurciaJumilla   #SentimientoVinícola… https://t.co/YgaLS9yKfN,2018-09-28 09:55:08,2,0,"["" 'UCAMMurciaJumilla'""]","[{'screen_name': 'PinatarArena', 'name': 'Pinatar Arena', 'id': 801311858, 'id_str': '801311858', 'indices': [31, 44]}]","[{'url': 'https://t.co/YgaLS9yKfN', 'expanded_url': 'https://twitter.com/i/web/status/1045612865024126979', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]",9.0
18,"¡Buenos días, vinícolas! ☀️  El equipo vuelve a trabajar esta mañana en @PinatarArena para el #UCAMMurciaJumilla de… https://t.co/1DnAoCZ59G",2018-09-28 07:12:35,5,0,"["" 'UCAMMurciaJumilla'""]","[{'screen_name': 'PinatarArena', 'name': 'Pinatar Arena', 'id': 801311858, 'id_str': '801311858', 'indices': [72, 85]}]","[{'url': 'https://t.co/1DnAoCZ59G', 'expanded_url': 'https://twitter.com/i/web/status/1045571960904798208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",7.0
19,📷 | El equipo completa su sesión de entrenamiento en @PinatarArena ✅   #VuelvenTusColores ⚪🔵🔥🔥 https://t.co/Z5ptTRA7Ou,2018-09-27 09:18:02,9,1,"["" 'VuelvenTusColores'""]","[{'screen_name': 'PinatarArena', 'name': 'Pinatar Arena', 'id': 801311858, 'id_str': '801311858', 'indices': [53, 66]}]",[],9.0
20,"¡Buenos días, vinícolas! ☀️  El equipo continúa trabajando esta mañana en @PinatarArena para el #UCAMMurciaJumilla… https://t.co/PKOz6UyYD3",2018-09-27 08:28:02,8,0,"["" 'UCAMMurciaJumilla'""]","[{'screen_name': 'PinatarArena', 'name': 'Pinatar Arena', 'id': 801311858, 'id_str': '801311858', 'indices': [74, 87]}]","[{'url': 'https://t.co/PKOz6UyYD3', 'expanded_url': 'https://twitter.com/i/web/status/1045228558774423553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",8.0
21,El que calla otorga...!!,2018-09-30 07:55:01,1,0,0.0,[],[],7.0
22,"""Tener el corazón roto también quiere decir que intentaste algo importante"" - Diálogo de la película Comer, Rezar y Amar",2018-09-27 19:01:41,1,0,0.0,[],[],19.0
23,Nuevas tendencias de la economía mundial  I : La importancia de las Cadenas Globales de Valor y la innovación https://t.co/FtbTCHy13r,2018-09-26 19:00:04,0,0,0.0,[],"[{'url': 'https://t.co/FtbTCHy13r', 'expanded_url': 'https://proeconomia.net/tendencias-economia-cgv-innovacion/', 'display_url': 'proeconomia.net/tendencias-eco…', 'indices': [110, 133]}]",19.0
24,Señores @InterCliente @TuMundoInter. Nuevamente desde el lunes 24 sin ancho de banda que es igual a no tener servic… https://t.co/1ss2v4kIaK,2018-09-26 09:22:19,1,0,0.0,"[{'screen_name': 'InterCliente', 'name': 'InterCliente', 'id': 509001382, 'id_str': '509001382', 'indices': [8, 21]}, {'screen_name': 'TuMundoInter', 'name': 'Tu Mundo Inter', 'id': 240257454, 'id_str': '240257454', 'indices': [22, 35]}]","[{'url': 'https://t.co/1ss2v4kIaK', 'expanded_url': 'https://twitter.com/i/web/status/1044879831069003777', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",9.0
25,"""Las cosas malas son las que permiten que puedas apreciar las cosas buenas"" -  Diálogo de la película 'En búsqueda del destino'",2018-09-25 22:50:55,2,1,0.0,[],[],22.0
26,"""¡Es lo que hay!"" es una expresión demoledora. Es una frase digna para describir ese pasaje de la tragedia de Loren… https://t.co/qUSWfCtXkG",2018-09-25 08:56:15,0,0,0.0,[],"[{'url': 'https://t.co/qUSWfCtXkG', 'expanded_url': 'https://twitter.com/i/web/status/1044510882888396800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",8.0
27,"""¡Es lo que hay!"" no me sirve....",2018-09-22 19:18:48,1,0,0.0,[],[],19.0
28,Hay gente que tiene una interpretación bastante particular sobre cono construir un consenso...,2018-09-16 17:26:35,0,0,0.0,[],[],17.0
29,@jose_valentin1 @NestorRinconF @ekbufalo @Mibelis @vjmc @LaDivinaDiva @toroalvarol @MiguelFontan @EAristeguieta… https://t.co/JUGiYY2H6a,2018-09-16 17:10:10,0,1,0.0,"[{'screen_name': 'jose_valentin1', 'name': 'Jose Gonzalez', 'id': 897477056, 'id_str': '897477056', 'indices': [0, 15]}, {'screen_name': 'NestorRinconF', 'name': 'Nestor Rincón', 'id': 285695837, 'id_str': '285695837', 'indices': [16, 30]}, {'screen_name': 'ekbufalo', 'name': 'Erik Del Bufalo', 'id': 72466209, 'id_str': '72466209', 'indices': [31, 40]}, {'screen_name': 'Mibelis', 'name': 'Mibelis Acevedo D.', 'id': 62145811, 'id_str': '62145811', 'indices': [41, 49]}, {'screen_name': 'vjmc', 'name': 'Victor Maldonado C.', 'id': 49190580, 'id_str': '49190580', 'indices': [50, 55]}, {'screen_name': 'LaDivinaDiva', 'name': 'La Divina Diva', 'id': 49482270, 'id_str': '49482270', 'indices': [56, 69]}, {'screen_name': 'toroalvarol', 'name': 'Alvaro Toro', 'id': 984448724339449856, 'id_str': '984448724339449856', 'indices': [70, 82]}, {'screen_name': 'MiguelFontan', 'name': 'Miguel Fontán™', 'id': 51769033, 'id_str': '51769033', 'indices': [83, 96]}, {'screen_name': 'EAristeguieta', 'name': 'Enrique Aristeguieta', 'id': 1410380994, 'id_str': '1410380994', 'indices': [97, 111]}]","[{'url': 'https://t.co/JUGiYY2H6a', 'expanded_url': 'https://twitter.com/i/web/status/1041373692444516352', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]",17.0
30,https://t.co/8tSHna2vXP,2018-09-16 16:55:38,0,0,0.0,[],"[{'url': 'https://t.co/8tSHna2vXP', 'expanded_url': 'http://efectococuyo.com/opinion/la-lengua-suelta/', 'display_url': 'efectococuyo.com/opinion/la-len…', 'indices': [0, 23]}]",16.0
31,@NestorRinconF Por eso te envié el artículo. Esa aproximación es correcta pero parcial. Pero si el objetivo es el corto plazo ... ok,2018-09-16 16:41:12,0,1,0.0,"[{'screen_name': 'NestorRinconF', 'name': 'Nestor Rincón', 'id': 285695837, 'id_str': '285695837', 'indices': [0, 14]}]",[],16.0
32,@NestorRinconF Si el plan es que te den la razón entonces no es un plan. Nadie apoya un plan que no ayuda a construir.,2018-09-16 16:32:55,0,1,0.0,"[{'screen_name': 'NestorRinconF', 'name': 'Nestor Rincón', 'id': 285695837, 'id_str': '285695837', 'indices': [0, 14]}]",[],16.0
33,@NestorRinconF Lee tu lo q yo te envié. Yo conozco el 299. Estás confudiendo los planos de la conversación. Yo esto… https://t.co/Hv5gjjEqe3,2018-09-16 16:28:29,0,1,0.0,"[{'screen_name': 'NestorRinconF', 'name': 'Nestor Rincón', 'id': 285695837, 'id_str': '285695837', 'indices': [0, 14]}]","[{'url': 'https://t.co/Hv5gjjEqe3', 'expanded_url': 'https://twitter.com/i/web/status/1041363202284707841', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",16.0
34,#Sobrecostes#M45,2018-09-28 21:24:56,0,0,0.0,[],[],21.0
35,@Julio_Rodr_ @RamonEspinar @CabreraMaby @DinaBousselham 👏👏👏👏💜💜💜💜💜,2018-09-30 08:38:25,0,0,0.0,"[{'screen_name': 'Julio_Rodr_', 'name': 'Julio Rodríguez', 'id': 4119160593, 'id_str': '4119160593', 'indices': [0, 12]}, {'screen_name': 'RamonEspinar', 'name': 'Ramón Espinar', 'id': 394266186, 'id_str': '394266186', 'indices': [13, 26]}, {'screen_name': 'CabreraMaby', 'name': 'Maby Cabrera Sevilla', 'id': 2609737463, 'id_str': '2609737463', 'indices': [27, 39]}, {'screen_name': 'DinaBousselham', 'name': 'Dina Bousselham', 'id': 92320343, 'id_str': '92320343', 'indices': [40, 55]}]",[],8.0
36,@ElSaltoDiario Madre mía,2018-09-29 09:14:30,0,0,0.0,"[{'screen_name': 'ElSaltoDiario', 'name': 'El Salto', 'id': 90725961, 'id_str': '90725961', 'indices': [0, 14]}]",[],9.0
37,@jesusmarana @YouTube 🌹🌹🌹🌹🌹🌹😢😢,2018-09-27 21:33:27,0,0,0.0,"[{'screen_name': 'jesusmarana', 'name': 'Jesús Maraña', 'id': 268470229, 'id_str': '268470229', 'indices': [0, 12]}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [13, 21]}]",[],21.0
38,@PonsLluc Mucha suerte,2018-09-27 17:27:13,0,0,0.0,"[{'screen_name': 'PonsLluc', 'name': 'LLUC PONS MARTI', 'id': 1044210155313926144, 'id_str': '1044210155313926144', 'indices': [0, 9]}]",[],17.0
39,@Santi_MBarajas @juralde @EcoToledo @CarolBellotero @ecologistas @_Quim @ataulffa @TheoOberhuber Gracias por vuestro trabajo.,2018-09-27 17:26:25,3,0,0.0,"[{'screen_name': 'Santi_MBarajas', 'name': 'Santiago M. Barajas', 'id': 853997057656401921, 'id_str': '853997057656401921', 'indices': [0, 15]}, {'screen_name': 'juralde', 'name': 'Juan López de Uralde', 'id': 69060709, 'id_str': '69060709', 'indices': [16, 24]}, {'screen_name': 'EcoToledo', 'name': 'EcologistasToledo', 'id': 2192707688, 'id_str': '2192707688', 'indices': [25, 35]}, {'screen_name': 'CarolBellotero', 'name': 'Carol Bellotero', 'id': 914188230, 'id_str': '914188230', 'indices': [36, 51]}, {'screen_name': 'ecologistas', 'name': 'Ecologistas en Acción', 'id': 51806144, 'id_str': '51806144', 'indices': [52, 64]}, {'screen_name': '_Quim', 'name': 'Quim Pérez', 'id': 215012419, 'id_str': '215012419', 'indices': [65, 71]}, {'screen_name': 'ataulffa', 'name': 'Sara', 'id': 710500788867637248, 'id_str': '710500788867637248', 'indices': [72, 81]}, {'screen_name': 'TheoOberhuber', 'name': 'Theo Oberhuber', 'id': 96128267, 'id_str': '96128267', 'indices': [82, 96]}]",[],17.0
40,"@PuigFolcra @FAgramunt @grancocolio Alex, lo que yo digo es que las dos lenguas estén por igual y eso no es así. No… https://t.co/IpYHuQuBRc",2018-09-27 09:02:08,0,0,0.0,"[{'screen_name': 'PuigFolcra', 'name': 'Alex Puig Folcra', 'id': 914355339935539206, 'id_str': '914355339935539206', 'indices': [0, 11]}, {'screen_name': 'FAgramunt', 'name': 'Fernando Agramunt', 'id': 298148975, 'id_str': '298148975', 'indices': [12, 22]}, {'screen_name': 'grancocolio', 'name': 'Manuel Arias Muñoz', 'id': 3587524456, 'id_str': '3587524456', 'indices': [23, 35]}]","[{'url': 'https://t.co/IpYHuQuBRc', 'expanded_url': 'https://twitter.com/i/web/status/1045237141805174785', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",9.0
41,"@PuigFolcra @FAgramunt @grancocolio Hombre, cuando yo estuve en Cataluña no existía Cs y ya no se podía estudiar en… https://t.co/n8Aq0oPPDA",2018-09-26 21:45:46,0,0,0.0,"[{'screen_name': 'PuigFolcra', 'name': 'Alex Puig Folcra', 'id': 914355339935539206, 'id_str': '914355339935539206', 'indices': [0, 11]}, {'screen_name': 'FAgramunt', 'name': 'Fernando Agramunt', 'id': 298148975, 'id_str': '298148975', 'indices': [12, 22]}, {'screen_name': 'grancocolio', 'name': 'Manuel Arias Muñoz', 'id': 3587524456, 'id_str': '3587524456', 'indices': [23, 35]}]","[{'url': 'https://t.co/n8Aq0oPPDA', 'expanded_url': 'https://twitter.com/i/web/status/1045066928090484736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",21.0
42,"@PuigFolcra @FAgramunt @grancocolio Creo que se trata de hacer políticas para que la gente sea más feliz, y yo creo… https://t.co/YTgbfnyNaE",2018-09-26 21:06:26,0,0,0.0,"[{'screen_name': 'PuigFolcra', 'name': 'Alex Puig Folcra', 'id': 914355339935539206, 'id_str': '914355339935539206', 'indices': [0, 11]}, {'screen_name': 'FAgramunt', 'name': 'Fernando Agramunt', 'id': 298148975, 'id_str': '298148975', 'indices': [12, 22]}, {'screen_name': 'grancocolio', 'name': 'Manuel Arias Muñoz', 'id': 3587524456, 'id_str': '3587524456', 'indices': [23, 35]}]","[{'url': 'https://t.co/YTgbfnyNaE', 'expanded_url': 'https://twitter.com/i/web/status/1045057029705019393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",21.0
43,"@PuigFolcra @FAgramunt @grancocolio A ver Alex, creo que es mejor abrirse que cerrarse, de verdad yo creo que la le… https://t.co/QtzcICbFLv",2018-09-26 20:45:20,0,0,0.0,"[{'screen_name': 'PuigFolcra', 'name': 'Alex Puig Folcra', 'id': 914355339935539206, 'id_str': '914355339935539206', 'indices': [0, 11]}, {'screen_name': 'FAgramunt', 'name': 'Fernando Agramunt', 'id': 298148975, 'id_str': '298148975', 'indices': [12, 22]}, {'screen_name': 'grancocolio', 'name': 'Manuel Arias Muñoz', 'id': 3587524456, 'id_str': '3587524456', 'indices': [23, 35]}]","[{'url': 'https://t.co/QtzcICbFLv', 'expanded_url': 'https://twitter.com/i/web/status/1045051719556767744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",20.0
44,"@PuigFolcra @FAgramunt @grancocolio Ahí está, el error. En Cataluña las dos lenguas son oficiales y cada uno puede… https://t.co/svIqnNzzmS",2018-09-26 19:29:15,1,0,0.0,"[{'screen_name': 'PuigFolcra', 'name': 'Alex Puig Folcra', 'id': 914355339935539206, 'id_str': '914355339935539206', 'indices': [0, 11]}, {'screen_name': 'FAgramunt', 'name': 'Fernando Agramunt', 'id': 298148975, 'id_str': '298148975', 'indices': [12, 22]}, {'screen_name': 'grancocolio', 'name': 'Manuel Arias Muñoz', 'id': 3587524456, 'id_str': '3587524456', 'indices': [23, 35]}]","[{'url': 'https://t.co/svIqnNzzmS', 'expanded_url': 'https://twitter.com/i/web/status/1045032572424736768', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",19.0
45,"No digo nada, que me pierdo... #ForzaBreo",2018-09-30 15:49:01,11,0,"["" 'ForzaBreo'""]",[],[],15.0
46,"@OPoyF La diferencia es que a ese ejemplo del que hablas se le ha investigado de arriba a abajo, y se ha concluido… https://t.co/QtYwyO3TSP",2018-09-29 10:36:26,1,0,0.0,"[{'screen_name': 'OPoyF', 'name': 'Oscar Poy Franco', 'id': 393539397, 'id_str': '393539397', 'indices': [0, 6]}]","[{'url': 'https://t.co/QtYwyO3TSP', 'expanded_url': 'https://twitter.com/i/web/status/1045985648866463744', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",10.0
47,"@OPoyF A esas personas que investiga parece que la vida les ha ido viniendo ""regalada""",2018-09-29 09:19:52,0,0,0.0,"[{'screen_name': 'OPoyF', 'name': 'Oscar Poy Franco', 'id': 393539397, 'id_str': '393539397', 'indices': [0, 6]}]",[],9.0
48,"@OPoyF No, el TS no ha investigado a Casado. De hecho, eso es exactamente lo que concluye su auto: que no ve indicios para investigarlo",2018-09-29 08:32:08,0,0,0.0,"[{'screen_name': 'OPoyF', 'name': 'Oscar Poy Franco', 'id': 393539397, 'id_str': '393539397', 'indices': [0, 6]}]",[],8.0
49,https://t.co/973ACaL5xO,2018-09-29 07:42:48,0,1,0.0,[],"[{'url': 'https://t.co/973ACaL5xO', 'expanded_url': 'https://m.eldiario.es/escolar/argumentales-Tribunal-Supremo-pablo-casado_6_819328099.html', 'display_url': 'm.eldiario.es/escolar/argume…', 'indices': [0, 23]}]",7.0
50,"No me sorprende que el TS no investigue a #PabloCasado , sino que PP y él mismo piensen que esto lo arregla todo. P… https://t.co/lzh4g1G78U",2018-09-29 07:19:48,13,5,"["" 'PabloCasado'""]",[],"[{'url': 'https://t.co/lzh4g1G78U', 'expanded_url': 'https://twitter.com/i/web/status/1045936161989054464', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",7.0
51,"@miguelmuxa @jlopezorozco En el periodismo al que tú usted parece estar acostumbrado es posible, lo desconozco. En el que yo hago, no",2018-09-27 17:35:22,0,0,0.0,"[{'screen_name': 'miguelmuxa', 'name': 'Miguel', 'id': 977469925001519104, 'id_str': '977469925001519104', 'indices': [0, 11]}, {'screen_name': 'jlopezorozco', 'name': 'José López Orozco', 'id': 146009139, 'id_str': '146009139', 'indices': [12, 25]}]",[],17.0
52,"@jlopezorozco Está hecho,  estaré encantado. Pagas tú, ahora que no eres cargo público y no te pueden acusar de malversar fondos 😀",2018-09-27 17:34:11,4,0,0.0,"[{'screen_name': 'jlopezorozco', 'name': 'José López Orozco', 'id': 146009139, 'id_str': '146009139', 'indices': [0, 13]}]",[],17.0
53,"@jlopezorozco Es mi trabajo, contar noticias, como estoy  contando esta. Solo negocios, nada personal 😜 Enhorabuena otra vez",2018-09-27 16:56:30,2,0,0.0,"[{'screen_name': 'jlopezorozco', 'name': 'José López Orozco', 'id': 146009139, 'id_str': '146009139', 'indices': [0, 13]}]",[],16.0
54,Mucho he tenido que escribir sobre este caso y sobre el alcalde @jlopezorozco cuando le fueron mal dadas. Justo es… https://t.co/RB7QX1rxXU,2018-09-27 16:25:47,11,4,0.0,"[{'screen_name': 'jlopezorozco', 'name': 'José López Orozco', 'id': 146009139, 'id_str': '146009139', 'indices': [64, 77]}]","[{'url': 'https://t.co/RB7QX1rxXU', 'expanded_url': 'https://twitter.com/i/web/status/1045348789119258624', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",16.0
55,Este hilo con la RAE es un alivio entre tanto idota https://t.co/LSjCs6JoO7,2018-09-27 13:35:05,2,1,0.0,[],"[{'url': 'https://t.co/LSjCs6JoO7', 'expanded_url': 'https://twitter.com/RAEinforma/status/577388412036096000', 'display_url': 'twitter.com/RAEinforma/sta…', 'indices': [52, 75]}]",13.0
56,-Parches de nicotina 14 horas/14 parches: 60 euros  -Espray de nicotina 100 vaporizaciones: 32 euros -Chicles de ni… https://t.co/Wvf8FZGvwu,2018-09-26 22:12:06,1,1,0.0,[],"[{'url': 'https://t.co/Wvf8FZGvwu', 'expanded_url': 'https://twitter.com/i/web/status/1045073554709057536', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",22.0
57,"Pobrecillo, no se libra de una... https://t.co/b0KW0fN94W",2018-09-26 15:10:11,4,1,0.0,[],"[{'url': 'https://t.co/b0KW0fN94W', 'expanded_url': 'https://twitter.com/ramonlobo/status/1044959937481383937', 'display_url': 'twitter.com/ramonlobo/stat…', 'indices': [34, 57]}]",15.0
58,Lo de #WillyToledo no. Y esto tampoco #LibertadDeExpresion  https://t.co/DjhqTY6Bkz,2018-09-26 10:05:08,0,0,"["" 'WillyToledo'""]",[],"[{'url': 'https://t.co/DjhqTY6Bkz', 'expanded_url': 'https://elpais.com/politica/2018/09/25/actualidad/1537898359_344256.amp.html?__twitter_impression=true', 'display_url': 'elpais.com/politica/2018/…', 'indices': [60, 83]}]",10.0
59,Deseando que se filtren las grabaciones de Villarejo cuando comió con Dios: -¿Sabes lo de María y eso de la virgini… https://t.co/lPNogxJ3UH,2018-09-26 09:56:16,3,1,0.0,[],"[{'url': 'https://t.co/lPNogxJ3UH', 'expanded_url': 'https://twitter.com/i/web/status/1044888377693229056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",9.0
